date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:47	214/214	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202005%2018:18:47%20GMT	www.ccim.be/robots.txt		(from )
18:28:47	1302/1302	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Apr%202001%2015:14:31%20GMT	www.ccim.be/ccim328/	D:/HTML/cours%20HML/www.ccim.be/ccim328/index.html	(from )
18:28:48	2079/2079	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202001%2016:31:15%20GMT	www.ccim.be/ccim328/bgnew.html	D:/HTML/cours%20HML/www.ccim.be/ccim328/bgnew.html	(from www.ccim.be/ccim328/)
18:28:48	5738/5738	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202001%2016:31:26%20GMT	www.ccim.be/ccim328/titrenew.html	D:/HTML/cours%20HML/www.ccim.be/ccim328/titrenew.html	(from www.ccim.be/ccim328/)
18:28:49	2421/2421	---M--	200	added ('OK')	image/gif	date:Sun,%2029%20Apr%202001%2015:14:27%20GMT	www.ccim.be/ccim328/bgnew.gif	D:/HTML/cours%20HML/www.ccim.be/ccim328/bgnew.gif	(from www.ccim.be/ccim328/bgnew.html)
18:28:49	995/995	---M--	200	added ('OK')	text/html	date:Sun,%2026%20Nov%202000%2015:27:22%20GMT	www.ccim.be/ccim328/html/index.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/html/index.htm	(from www.ccim.be/ccim328/bgnew.html)
18:28:49	913/913	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Aug%201999%2015:07:11%20GMT	www.ccim.be/ccim328/Htmlplus/index.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/Htmlplus/index.htm	(from www.ccim.be/ccim328/bgnew.html)
18:28:49	909/909	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Aug%201999%2015:07:28%20GMT	www.ccim.be/ccim328/Htmlplus/idxform.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/Htmlplus/idxform.htm	(from www.ccim.be/ccim328/bgnew.html)
18:28:49	909/909	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Aug%201999%2015:08:26%20GMT	www.ccim.be/ccim328/Htmlplus/idxmeta.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/Htmlplus/idxmeta.htm	(from www.ccim.be/ccim328/bgnew.html)
18:28:49	908/908	---M--	200	added ('OK')	text/html	date:Sat,%2007%20Aug%201999%2015:08:14%20GMT	www.ccim.be/ccim328/Htmlplus/idxmap.htm	D:/HTML/cours%20HML/www.ccim.be/ccim328/Htmlplus/idxmap.htm	(from www.ccim.be/ccim328/bgnew.html)
